Country,Year,KWH,CO2
Micronesia (Fed. States of),1998,643272755.8240001,165180193.03955203
Micronesia (Fed. States of),1999,623576405.9360001,160508554.130844
Micronesia (Fed. States of),2000,676617749.414,174461307.864189
Micronesia (Fed. States of),2001,855719324.1100001,220543865.87334183
Micronesia (Fed. States of),2002,760163150.216,195034675.38848042
Micronesia (Fed. States of),2003,767740295.6040001,197590740.6943252
Micronesia (Fed. States of),2004,761006430.35,195386872.65317097
Micronesia (Fed. States of),2005,631712530.936,162815678.625319
Micronesia (Fed. States of),2006,641182642.6719999,166209091.178204
Micronesia (Fed. States of),2007,692932375.63,180082343.422732
Micronesia (Fed. States of),2008,618025143.352,160689498.90811902
Micronesia (Fed. States of),2009,801087706.424,208190158.41210604
Micronesia (Fed. States of),2010,610754242.302,158690041.462002
Micronesia (Fed. States of),2011,643198164.01,167621847.33151978
Micronesia (Fed. States of),2012,696724315.974,181447010.4208062
Micronesia (Fed. States of),2013,724564671.092,188678533.4855512
Micronesia (Fed. States of),2014,761533999.418,197858798.93809122
Mongolia,1990,144384684153772.62,47284620773577.15
Mongolia,1991,46708509753555.195,15295868200101.355
Mongolia,1992,55943159666.80896,17229436493.91066
Mongolia,1993,144380116576702.4,47283540170843.56
Mongolia,1994,45260375212.799995,13968931881.629545
Mongolia,1995,45607882706.956215,14049785473.131683
Mongolia,1996,45975842557.844894,14173863026.867434
Mongolia,1997,51349227596.20468,14073898917.976782
Mongolia,1998,51280673422.36434,13997189906.215363
Mongolia,1999,51037891394.49099,13894585410.04525
Mongolia,2000,51426617256.60617,13990510666.834621
Mongolia,2001,52723918838.13804,14387168178.952648
Mongolia,2002,55889599473.98962,15472718442.122126
Mongolia,2003,50745446592.636826,15600594375.143703
Mongolia,2004,57131909246.807434,17562257971.481728
Mongolia,2005,618983841135.0623,163547802570.73834
Mongolia,2006,567906673430.504,164010467065.58047
Mongolia,2007,578897532871.7859,167475271068.71478
Mongolia,2008,15356568549912.22,4989502063302.964
Mongolia,2009,154465558431.3414,48145917327.91954
Mongolia,2010,241022582734.0494,76376327547.36554
Mongolia,2011,299101087811.7408,95358828972.11307
Mongolia,2012,275553277947.6486,87316615447.97153
Mongolia,2013,281403897538.0786,89005095334.53326
Mongolia,2014,804112190768193.1,263327218319859.03
Montenegro,2005,19930880765.600002,5983446700.118111
Montenegro,2006,22023160156.4,6631589380.039328
Montenegro,2007,20771881999.2,6404262969.234217
Montenegro,2008,1206771939350.0,386314516904.52295
Montenegro,2009,20141241936.199997,6010012359.627024
Montenegro,2010,25276772751.2,7396176725.406335
Montenegro,2011,24840759664.699993,7786242837.467321
Montenegro,2012,24081731163.699997,7500265815.160372
Montenegro,2013,24171369269.899998,7179191455.32457
Montenegro,2014,2766650458739.5703,905599291123.7505
Montserrat,1990,148698550.60000002,37913277.9138
Montserrat,1991,138754096.60000002,35129025.3424
Montserrat,1992,150698550.60000002,38343277.9138
Montserrat,1993,151698550.60000002,38523277.9138
Montserrat,1994,164004116.0,41599669.2638
Montserrat,1995,176948570.0,44993921.835200004
Montserrat,1996,176948570.0,44993921.835200004
Montserrat,1997,166010116.0,41961169.2638
Montserrat,1998,152065662.0,38456916.6924
Montserrat,1999,140121208.0,35242664.121
Montserrat,2000,124176754.0,31238411.5496
Montserrat,2001,124176754.0,31238411.5496
Montserrat,2002,181315681.4,45647560.6138
Montserrat,2003,187315681.4,47077560.6138
Montserrat,2004,183315681.4,46077560.6138
Montserrat,2005,184010181.4,46202185.6138
Montserrat,2006,184210181.4,46238185.6138
Montserrat,2007,207768533.02,51933437.291420005
Montserrat,2008,252463012.9,62876532.0994
Montserrat,2009,224416601.57400003,56232685.11766
Montserrat,2010,281581091.75,71123827.58612001
Montserrat,2011,203704973.57999998,50909578.003000006
Montserrat,2012,205160474.694,51345661.6726
Montserrat,2013,248004897.72,62814565.25756
Montserrat,2014,229674377.896,57902787.872020006
Morocco,1990,20239793848238.75,5833613496449.302
Morocco,1991,267936102897.76398,82082681559.72873
Morocco,1992,270433668629.96,82682620908.265
Morocco,1993,20270189733118.098,5840180226057.81
Morocco,1994,286555688420.13,87356106901.383
Morocco,1995,295113779960.956,88568274303.87508
Morocco,1996,287140776837.38,87607419062.76231
Morocco,1997,36730952990650.95,10498305192435.438
Morocco,1998,304682974250.248,90494050151.02808
Morocco,1999,340540620706.474,99876792080.82066
Morocco,2000,340362981561.182,100046032740.13806
Morocco,2001,326396830585.35,98737616096.48093
Morocco,2002,311815718958.99396,94700621086.08226
Morocco,2003,287930081150.998,87421016591.5533
Morocco,2004,332421728342.52997,99723943617.51895
Morocco,2005,96266705482360.17,27478028893247.57
Morocco,2006,354062216048.606,104969495925.0058
Morocco,2007,378102227258.29205,110408122215.54985
Morocco,2008,96278059786965.8,27480578863469.21
Morocco,2009,376268226965.6721,110319133529.98706
Morocco,2010,399010246246.6819,116100079783.39961
Morocco,2011,431147850916.43604,124318312755.91342
Morocco,2012,438875158884.418,126308491574.82045
Morocco,2013,463401064836.174,133287069847.42943
Morocco,2014,1367569506284.7036,429630793271.5266
Mozambique,1990,2961197303089.932,900081104151.1835
Mozambique,1991,302806323940.43054,116180369490.08167
Mozambique,1992,304275344189.69354,116752509825.87115
Mozambique,1993,3167686726544.2793,929738478156.4138
Mozambique,1994,312773185609.4724,120108353301.59834
Mozambique,1995,3178409763397.735,933893292763.708
Mozambique,1996,323707825653.5984,124330632994.0416
Mozambique,1997,2973637515784.2607,893994040359.0748
Mozambique,1998,961786205078.821,255720053947.1439
Mozambique,1999,966843815327.3667,257606904161.43484
Mozambique,2000,974745347459.881,260171291715.45947
Mozambique,2001,983610431096.6641,262235541883.76587
Mozambique,2002,370751056646.58923,137458202148.8026
Mozambique,2003,375573902921.2453,139632254684.81848
Mozambique,2004,385741902803.98785,141642218127.39783
Mozambique,2005,3573945846693.19,988447342713.0997
Mozambique,2006,412698134240.0151,148229447343.6884
Mozambique,2007,3498278218135.3765,992946752299.6875
Mozambique,2008,3609485442983.12,998484183801.43
Mozambique,2009,448797770678.72266,160763469343.57587
Mozambique,2010,462519576820.967,165484186592.93292
Mozambique,2011,485170769580.5791,173057908913.4876
Mozambique,2012,560381384067.8218,199066963362.95035
Mozambique,2013,599649231520.0627,211695798316.69803
Mozambique,2014,223678222303634.78,69495526581254.66
Myanmar,1990,5129045267466.769,1237219391108.2556
Myanmar,1991,563684109508.8739,207031220024.40277
Myanmar,1992,583307131542.5199,214477197905.25156
